,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
3,2022,MI,FT,Data Scientist,100000,USD,100000,US,100,US,M
4,2022,MI,FT,Data Scientist,85000,USD,85000,US,100,US,M
5,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
8,2022,SE,FT,Data Scientist,136000,USD,136000,US,100,US,M
9,2022,SE,FT,Data Scientist,104000,USD,104000,US,100,US,M
10,2022,SE,FT,Data Scientist,45000,EUR,47379,ES,0,ES,M
11,2022,SE,FT,Data Scientist,36000,EUR,37903,ES,0,ES,M
20,2022,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M
21,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
26,2022,SE,FT,Data Scientist,198440,USD,198440,US,0,US,L
27,2022,SE,FT,Data Scientist,144000,USD,144000,US,0,US,L
30,2022,SE,FT,Data Scientist,198440,USD,198440,US,0,US,M
31,2022,SE,FT,Data Scientist,144000,USD,144000,US,0,US,M
36,2022,MI,FT,Data Scientist,47000,GBP,58211,GB,50,GB,M
38,2022,EN,FT,Data Scientist,38000,EUR,40009,FR,50,FR,L
45,2022,SE,FT,Data Scientist,159699,USD,159699,US,0,US,M
46,2022,SE,FT,Data Scientist,138938,USD,138938,US,0,US,M
58,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
59,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
60,2022,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
61,2022,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
90,2022,EN,FT,Data Scientist,180000,USD,180000,US,100,US,M
91,2022,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
98,2022,SE,FT,Data Scientist,175000,USD,175000,US,0,US,M
99,2022,SE,FT,Data Scientist,122500,USD,122500,US,0,US,M
102,2022,SE,FT,Data Scientist,202800,USD,202800,US,0,US,L
103,2022,SE,FT,Data Scientist,104300,USD,104300,US,0,US,L
110,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
111,2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
113,2022,MI,FT,Data Scientist,30000,USD,30000,MX,100,MX,L
134,2022,MI,FT,Data Scientist,84000,USD,84000,BR,100,BR,M
135,2022,MI,FT,Data Scientist,54000,USD,54000,BR,100,BR,M
136,2022,EN,FT,Data Scientist,80000,USD,80000,US,100,US,L
138,2022,EN,FT,Data Scientist,96000,CAD,74286,CA,100,CA,L
140,2022,EN,FT,Data Scientist,27000,GBP,33440,GB,50,GB,L
149,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
150,2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
151,2022,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
152,2022,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
153,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
154,2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
157,2022,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
158,2022,SE,FT,Data Scientist,38000,USD,38000,US,100,US,M
161,2022,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
162,2022,SE,FT,Data Scientist,38000,USD,38000,US,100,US,M
165,2022,SE,FT,Data Scientist,153600,USD,153600,US,100,US,M
166,2022,SE,FT,Data Scientist,106800,USD,106800,US,100,US,M
167,2022,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
168,2022,SE,FT,Data Scientist,50000,USD,50000,US,100,US,M
171,2022,SE,FT,Data Scientist,155000,USD,155000,US,100,US,M
172,2022,SE,FT,Data Scientist,38000,USD,38000,US,100,US,M
173,2022,SE,FT,Data Scientist,168000,USD,168000,US,100,US,M
174,2022,SE,FT,Data Scientist,130000,USD,130000,US,100,US,M
175,2022,SE,FT,Data Scientist,123400,USD,123400,US,0,US,M
176,2022,SE,FT,Data Scientist,88100,USD,88100,US,0,US,M
177,2022,SE,FT,Data Scientist,120000,USD,120000,US,100,US,S
178,2022,SE,FT,Data Scientist,55000,USD,55000,US,100,US,S
179,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
180,2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
189,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
190,2022,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
197,2022,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
198,2022,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
199,2022,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
200,2022,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M
209,2022,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
210,2022,SE,FT,Data Scientist,50000,USD,50000,US,100,US,M
211,2022,SE,FT,Data Scientist,45000,EUR,47379,ES,0,ES,M
212,2022,SE,FT,Data Scientist,36000,EUR,37903,ES,0,ES,M
219,2022,MI,FT,Data Scientist,144200,USD,144200,US,100,US,M
