,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,MI,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M
1,2022,MI,FT,Machine Learning Engineer,90000,USD,90000,US,0,US,M
39,2022,SE,FT,Machine Learning Engineer,187200,USD,187200,CA,100,CA,M
40,2022,SE,FT,Machine Learning Engineer,116100,USD,116100,CA,100,CA,M
64,2022,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
65,2022,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
84,2022,SE,FT,Machine Learning Engineer,210000,USD,210000,US,100,US,M
85,2022,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
155,2022,EN,FT,Machine Learning Engineer,108000,USD,108000,US,0,US,S
259,2022,SE,FT,Machine Learning Engineer,210000,USD,210000,US,100,US,M
260,2022,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
271,2022,SE,FT,Machine Learning Engineer,140000,USD,140000,CA,0,CA,M
272,2022,SE,FT,Machine Learning Engineer,110000,USD,110000,CA,0,CA,M
298,2022,SE,FT,Machine Learning Engineer,210000,USD,210000,US,100,US,M
299,2022,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
329,2022,SE,FT,Machine Learning Engineer,200000,USD,200000,PR,100,PR,M
330,2022,SE,FT,Machine Learning Engineer,135000,USD,135000,PR,100,PR,M
359,2022,SE,FT,Machine Learning Engineer,195400,USD,195400,US,100,US,L
360,2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
373,2022,SE,FT,Machine Learning Engineer,60000,EUR,63172,FI,50,FI,S
535,2022,MI,FT,Machine Learning Engineer,104000,GBP,128809,GB,50,GB,L
541,2022,SE,FT,Machine Learning Engineer,186000,USD,186000,US,100,US,M
542,2022,SE,FT,Machine Learning Engineer,148800,USD,148800,US,100,US,M
558,2022,SE,FT,Machine Learning Engineer,135000,USD,135000,US,100,US,M
559,2022,SE,FT,Machine Learning Engineer,85000,USD,85000,US,100,US,M
562,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
563,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
568,2022,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
569,2022,SE,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,L
580,2022,SE,FT,Machine Learning Engineer,193900,USD,193900,US,0,US,M
581,2022,SE,FT,Machine Learning Engineer,129300,USD,129300,US,0,US,M
582,2022,EN,FT,Machine Learning Engineer,45000,GBP,55734,GB,100,GB,S
